Status Resp Rx'd 4 bytes, resp 22
Records: 1875, Error: 0
rRead Meas Sent: 0
Rec Id,Meas Inv,Acc X,Acc Y,Acc Z,Gyro X,Gyro Y,Gyro Z
1,0,-32,-196,161,-1,1,1
1,0,-33,-197,162,-1,0,0
2,0,-34,-197,161,0,0,0
2,0,-34,-197,161,0,0,-1
3,0,-33,-198,161,0,0,-1
3,0,-31,-198,161,0,0,-1
4,0,-31,-198,162,0,0,-1
4,0,-30,-197,162,0,-1,-1
5,0,-31,-198,161,0,-1,-1
5,0,-31,-198,162,0,-1,-1
6,0,-30,-197,161,0,-1,-1
6,0,-31,-198,161,0,-1,-1
7,0,-31,-197,160,0,-1,-1
7,0,-31,-197,161,0,-1,-1
8,0,-32,-198,160,0,-1,-1
8,0,-30,-197,161,0,-1,-1
9,0,-29,-197,161,0,-1,-1
9,0,-29,-197,162,0,0,-1
10,0,-31,-197,162,-1,0,-1
10,0,-33,-197,161,-1,-1,-1
11,0,-32,-197,160,-1,-1,-1
11,0,-33,-198,161,0,-1,-1
12,0,-32,-199,161,0,-1,-2
12,0,-30,-198,160,0,-1,-2
13,0,-29,-199,161,0,-1,-2
13,0,-29,-198,160,0,-1,-1
14,0,-30,-198,161,0,-1,-1
14,0,-30,-199,160,0,-1,-1
15,0,-31,-198,160,-1,-1,-1
15,0,-31,-197,160,0,-1,-1
16,0,-31,-198,161,0,-1,-1
16,0,-30,-197,161,0,-1,-1
17,0,-30,-198,161,-1,-1,-1
17,0,-31,-198,161,-1,-1,-1
18,0,-31,-198,161,0,-1,-1
18,0,-32,-198,160,0,-1,-1
19,0,-32,-197,161,0,-1,-1
19,0,-30,-198,160,0,-1,-1
20,0,-30,-199,161,0,-1,-1
20,0,-31,-198,160,0,-1,-1
21,0,-31,-198,160,0,-1,-1
21,0,-31,-199,160,0,-1,-1
22,0,-31,-198,160,0,-1,-1
22,0,-30,-199,160,0,-1,-1
23,0,-31,-199,160,0,-1,-1
23,0,-31,-199,160,0,-1,-1
24,0,-30,-198,160,0,-1,-1
24,0,-30,-199,159,0,-1,-1
25,0,-31,-200,159,0,-1,-1
25,0,-31,-199,161,0,-1,-1
26,0,-30,-199,160,0,-1,-1
26,0,-31,-199,159,0,-1,-1
27,0,-30,-199,159,0,0,-1
27,0,-31,-200,160,0,0,-1
28,0,-31,-198,160,0,0,-1
28,0,-30,-199,160,0,0,-1
29,0,-31,-199,160,0,0,-1
29,0,-30,-198,160,0,0,-1
30,0,-30,-198,160,0,0,-1
30,0,-31,-199,159,0,0,-1
31,0,-31,-198,160,0,0,-1
31,0,-31,-199,159,0,0,-1
32,0,-31,-198,160,0,0,-1
32,0,-31,-198,160,0,0,-1
33,0,-30,-198,160,0,0,-1
33,0,-31,-198,160,0,0,-1
34,0,-29,-199,160,0,1,-1
34,0,-28,-199,161,0,1,-1
35,0,-30,-200,161,0,1,0
35,0,-29,-200,161,-1,1,0
