Status Resp Rx'd 4 bytes, resp 22
Records: 1875, Error: 0
rRead Meas Sent: 0
Rec Id,Meas Inv,Acc X,Acc Y,Acc Z,Gyro X,Gyro Y,Gyro Z
1,0,27,-215,143,-2,-1,-1
1,0,24,-214,143,-2,-1,-2
2,0,26,-212,146,-2,-1,-2
2,0,27,-215,145,-2,-3,-2
3,0,27,-215,143,-2,-3,-2
3,0,27,-215,140,-2,-3,-2
4,0,28,-213,142,-2,-1,-2
4,0,27,-213,144,-3,-1,-2
5,0,24,-216,142,-3,-1,-1
5,0,26,-215,142,-3,-1,-1
6,0,26,-214,145,-2,-1,-1
6,0,27,-213,144,-2,-1,-2
7,0,25,-213,145,-2,-3,-2
7,0,28,-215,142,-2,-4,-2
8,0,24,-216,142,-3,-4,-2
8,0,26,-217,142,-2,-3,-2
9,0,27,-216,143,-2,-3,-2
9,0,27,-216,142,-2,-2,-1
10,0,27,-215,141,-2,-2,-1
10,0,25,-215,142,-2,-1,0
11,0,25,-216,142,-2,-1,0
11,0,22,-217,140,-2,-1,-1
12,0,24,-216,141,-1,0,-2
12,0,25,-216,141,-1,0,-2
13,0,26,-216,142,-1,0,-2
13,0,26,-215,141,-2,0,-2
14,0,28,-213,142,-2,0,-2
14,0,26,-214,141,-2,0,-2
15,0,24,-216,142,-2,-1,-2
15,0,26,-217,142,-1,-1,-2
16,0,27,-216,142,-1,-1,-2
16,0,28,-214,143,-1,-1,-2
17,0,25,-215,143,-1,-1,-1
17,0,27,-217,142,-1,-1,-1
18,0,28,-214,144,-1,-1,-1
18,0,27,-215,144,-1,-2,-1
19,0,27,-216,141,-1,-2,-1
19,0,26,-216,141,-1,-2,-1
20,0,26,-215,141,-1,-2,-1
20,0,26,-216,140,-1,-1,0
21,0,23,-215,141,-1,-1,-1
21,0,26,-216,141,0,0,-1
22,0,29,-215,141,0,0,-1
22,0,28,-216,141,0,0,0
23,0,27,-216,140,0,0,0
23,0,26,-214,143,0,-1,0
24,0,24,-217,140,0,-1,-1
24,0,24,-216,143,0,-1,-1
25,0,23,-217,141,1,0,-2
25,0,31,-215,142,2,-1,-2
26,0,29,-213,141,1,-1,-1
26,0,31,-215,140,0,0,0
27,0,28,-216,141,0,1,0
27,0,28,-216,141,0,1,0
28,0,24,-216,142,-1,0,0
28,0,26,-215,141,0,0,-1
29,0,26,-216,141,0,0,-1
29,0,28,-214,142,-1,0,-1
30,0,26,-216,141,-1,0,-1
30,0,27,-216,142,-1,0,-2
31,0,23,-216,142,0,1,-1
31,0,27,-216,142,0,1,-1
32,0,28,-216,141,1,1,-1
32,0,25,-217,140,1,1,-1
33,0,25,-217,140,1,2,-1
33,0,27,-215,141,1,4,-1
